family,genus,aerobic_status,gram_stain,spore_formation,saccharolytic,num_species
Lachnospiraceae,Stomatobaculum,obligate anaerobe,Gram-variable,non-spore forming,saccharolytic,1
Streptococcaceae,Streptococcus,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,102
Acidaminococcaceae,Succiniclasticum,not indicated,Gram-negative,non-spore forming,not indicated,1
Succinivibrionaceae,Succinivibrio,anaerobe (unspecified),Gram-negative,non-spore forming,saccharolytic,1
Rhodocyclaceae,Sulfuritalea,facultative anaerobe,Gram-negative,non-spore forming,not indicated,1
Sutterellaceae,Sutterella,microaerobe or anaerobe,Gram-negative,not indicated,asaccharolytic,3
Syntrophomonadaceae,Syntrophothermus,obligate anaerobe,Gram-negative,not indicated,not indicated,1
Porphyromonadaceae,Tannerella,anaerobe (unspecified),Gram-negative,not indicated,not indicated,1
Peptostreptococcaceae,Tepidibacter,anaerobe (unspecified),Gram-positive,spore forming,not indicated,3
Clostridiaceae,Tepidimicrobium,anaerobe (unspecified),Gram-positive,non-spore forming,not indicated,2
Clostridiaceae,Terrisporobacter,anaerobe (unspecified),Gram-variable,spore forming,not indicated,3
Peptococcaceae,Thermincola,anaerobe (unspecified),Gram-positive,non-spore forming,not indicated,2
Clostridiaceae,Thermohalobacter,obligate anaerobe,Gram-negative,non-spore forming,not indicated,1
Syntrophomonadaceae,Thermosyntropha,obligate anaerobe,Gram-variable,not indicated,not indicated,2
Unclassified Clostridiales,Tissierella,obligate anaerobe,Gram-negative,non-spore forming,mixed,4
Tsukamurellaceae,Tsukamurella,aerobe,Gram-positive,non-spore forming,not indicated,13
Erysipelotrichaceae,Turicibacter,anaerobe (unspecified),Gram-positive,non-spore forming,not indicated,1
Oxalobacteraceae,Undibacterium,not indicated,Gram-negative,non-spore forming,not indicated,9
Comamonadaceae,Variovorax,aerobe,not indicated,not indicated,saccharolytic,8
Veillonellaceae,Veillonella,anaerobe (unspecified),Gram-negative,non-spore forming,mixed,13
